run,TP.c,TP.q,TP.lyg,TP.death.other,TP.death.stroke,TP.death.bleed,TP.stroke.dep,TP.stroke.indep,TP.bleed.ich,TP.bleed.nich,TP.count.p.dep,TP.count.p.indep,TP.count.p.ich,TP.count.p.nich,FN.c,FN.q,FN.lyg,FN.death.other,FN.death.stroke,FN.death.bleed,FN.stroke.dep,FN.stroke.indep,FN.bleed.ich,FN.bleed.nich,FN.count.p.dep,FN.count.p.indep,FN.count.p.ich,FN.count.p.nich,TN.c,TN.q,TN.lyg,TN.death.other,TN.death.stroke,TN.death.bleed,TN.stroke.dep,TN.stroke.indep,TN.bleed.ich,TN.bleed.nich,TN.count.p.dep,TN.count.p.indep,TN.count.p.ich,TN.count.p.nich,FP.c,FP.q,FP.lyg,FP.death.other,FP.death.stroke,FP.death.bleed,FP.stroke.dep,FP.stroke.indep,FP.bleed.ich,FP.bleed.nich,FP.count.p.dep,FP.count.p.indep,FP.count.p.ich,FP.count.p.nich
200,18844.73015,12.2073,26.77145,0.6384,0.2648,0.0968,0.2886,0.5606,0.0544,0.4182,0.1686,0.3846,0.0544,0.4182,14255.84689,11.04083,25.3094,0.5956,0.3448,0.0596,0.36,0.7468,0.0308,0.2408,0.226,0.5234,0.0308,0.2408,2050.9413,14.68977,32.45536,0.8792,0.103,0.0178,0.0904,0.2454,0.0092,0.0692,0.0712,0.2014,0.0092,0.0692,4373.62045,14.07615,30.27573,0.8216,0.0726,0.1058,0.0666,0.1712,0.0588,0.4584,0.05,0.1278,0.0588,0.4584
201,17489.09579,12.30076,26.79603,0.6286,0.2792,0.0922,0.2578,0.5672,0.0426,0.4766,0.1582,0.3796,0.0426,0.4766,14146.26356,10.96325,25.08508,0.5812,0.3642,0.0546,0.3234,0.7558,0.0226,0.256,0.2076,0.531,0.0226,0.256,1693.49098,14.62736,32.22207,0.8718,0.1122,0.016,0.086,0.2494,0.0082,0.0724,0.0672,0.2078,0.0082,0.0724,4730.77422,14.14884,30.38684,0.8212,0.0796,0.0992,0.071,0.1742,0.0458,0.5036,0.05,0.1342,0.0458,0.5036
202,20924.07086,12.53968,27.66407,0.6696,0.2628,0.0676,0.2982,0.5484,0.0672,0.4592,0.1772,0.3744,0.0672,0.4592,15729.69609,11.12587,25.78973,0.615,0.3436,0.0414,0.3776,0.7306,0.04,0.2658,0.2402,0.5158,0.04,0.2658,2082.38195,14.69102,32.44261,0.883,0.1048,0.0122,0.1036,0.2362,0.0146,0.079,0.0782,0.1968,0.0146,0.079,5812.32058,14.39039,31.18616,0.8538,0.0712,0.075,0.074,0.1598,0.0726,0.4976,0.051,0.122,0.0726,0.4976
203,16347.51897,12.60235,27.67305,0.6784,0.2468,0.0748,0.2914,0.44,0.0564,0.4344,0.1806,0.3124,0.0564,0.4344,13124.86861,10.87435,25.34857,0.6036,0.3496,0.0468,0.3992,0.6352,0.0324,0.2518,0.2552,0.4804,0.0324,0.2518,1117.67432,14.6093,32.3575,0.8734,0.1126,0.014,0.1178,0.2208,0.0114,0.0746,0.091,0.1838,0.0114,0.0746,4632.27649,14.41688,31.24651,0.8484,0.0716,0.08,0.08,0.1382,0.0588,0.464,0.0562,0.1068,0.0588,0.464
204,19475.17336,11.86862,25.97099,0.5986,0.3278,0.0736,0.3304,0.5784,0.0588,0.4446,0.1926,0.3906,0.0588,0.4446,13880.81169,10.64554,24.14634,0.5454,0.4112,0.0434,0.383,0.7256,0.0326,0.2464,0.2342,0.4928,0.0326,0.2464,2106.23697,14.63124,32.28323,0.8656,0.1202,0.0142,0.1092,0.233,0.0124,0.0764,0.0826,0.191,0.0124,0.0764,5879.31038,14.16476,30.58325,0.8248,0.0914,0.0838,0.0906,0.1718,0.0646,0.5004,0.0622,0.1308,0.0646,0.5004
205,20513.43905,12.41257,27.24319,0.6572,0.2708,0.072,0.2836,0.5588,0.0574,0.4646,0.1716,0.3734,0.0574,0.4646,16197.19215,10.99958,25.45415,0.6024,0.3546,0.043,0.367,0.735,0.032,0.2554,0.2316,0.5152,0.032,0.2554,529.85656,14.7593,32.49326,0.8918,0.0976,0.0106,0.0906,0.219,0.0112,0.0628,0.0682,0.1852,0.0112,0.0628,4346.44024,14.30045,30.96245,0.8534,0.068,0.0786,0.0684,0.1516,0.0608,0.4964,0.0486,0.1182,0.0608,0.4964
206,17223.96029,12.60738,27.80725,0.6772,0.2698,0.053,0.3002,0.4898,0.05,0.4754,0.1836,0.3434,0.05,0.4754,13800.48166,10.99672,25.56328,0.6116,0.3544,0.034,0.382,0.6518,0.0264,0.2668,0.2452,0.4858,0.0264,0.2668,983.61046,14.64407,32.29969,0.8792,0.1118,0.009,0.1116,0.221,0.009,0.0744,0.0872,0.1908,0.009,0.0744,4689.60088,14.49545,31.47929,0.8664,0.0762,0.0574,0.0852,0.1448,0.0522,0.5094,0.0592,0.1132,0.0522,0.5094
207,18426.57981,12.09201,26.56907,0.627,0.2946,0.0784,0.3554,0.5252,0.0398,0.4628,0.206,0.3654,0.0398,0.4628,13896.62485,10.71436,24.70603,0.5726,0.3806,0.0468,0.4302,0.688,0.0226,0.2558,0.26,0.4848,0.0226,0.2558,1474.31113,14.64588,32.31594,0.874,0.1124,0.0136,0.1116,0.225,0.0088,0.0752,0.0886,0.1908,0.0088,0.0752,5937.03769,14.16373,30.51521,0.8324,0.0802,0.0874,0.091,0.1556,0.0428,0.5108,0.0634,0.122,0.0428,0.5108
208,25760.50852,11.9359,26.417,0.6308,0.2946,0.0746,0.3848,0.5524,0.0648,0.5074,0.2216,0.372,0.0648,0.5074,18366.83827,10.81739,25.00332,0.5836,0.3728,0.0436,0.467,0.6902,0.0386,0.2886,0.2778,0.4844,0.0386,0.2886,2239.77886,14.58148,32.30015,0.8774,0.1096,0.013,0.1246,0.2258,0.0138,0.0812,0.0916,0.19,0.0138,0.0812,6769.32228,14.13559,30.60191,0.8352,0.085,0.0798,0.106,0.1692,0.0738,0.5524,0.074,0.128,0.0738,0.5524
209,20165.59063,12.42149,27.4763,0.6656,0.2806,0.0538,0.3004,0.5346,0.0728,0.4346,0.184,0.3676,0.0728,0.4346,13781.84052,10.95334,25.28458,0.603,0.3626,0.0344,0.3898,0.6948,0.0408,0.246,0.2422,0.4968,0.0408,0.246,1788.38567,14.53185,32.17512,0.8714,0.1174,0.0112,0.1086,0.2492,0.0164,0.081,0.086,0.2052,0.0164,0.081,6074.3185,14.36403,31.26214,0.8592,0.0814,0.0594,0.0898,0.1672,0.079,0.4784,0.061,0.1292,0.079,0.4784
