run,TP.c,TP.q,TP.lyg,TP.death.other,TP.death.stroke,TP.death.bleed,TP.stroke.dep,TP.stroke.indep,TP.bleed.ich,TP.bleed.nich,TP.count.p.dep,TP.count.p.indep,TP.count.p.ich,TP.count.p.nich,FN.c,FN.q,FN.lyg,FN.death.other,FN.death.stroke,FN.death.bleed,FN.stroke.dep,FN.stroke.indep,FN.bleed.ich,FN.bleed.nich,FN.count.p.dep,FN.count.p.indep,FN.count.p.ich,FN.count.p.nich,TN.c,TN.q,TN.lyg,TN.death.other,TN.death.stroke,TN.death.bleed,TN.stroke.dep,TN.stroke.indep,TN.bleed.ich,TN.bleed.nich,TN.count.p.dep,TN.count.p.indep,TN.count.p.ich,TN.count.p.nich,FP.c,FP.q,FP.lyg,FP.death.other,FP.death.stroke,FP.death.bleed,FP.stroke.dep,FP.stroke.indep,FP.bleed.ich,FP.bleed.nich,FP.count.p.dep,FP.count.p.indep,FP.count.p.ich,FP.count.p.nich
1,11617.78039,12.0294,25.40435,0.7014,0.2414,0.0572,0.232,0.4874,0.0418,0.3582,0.148,0.3494,0.0418,0.3582,10392.96132,10.58199,23.4394,0.6302,0.3362,0.0336,0.3176,0.6832,0.0256,0.2002,0.2064,0.5016,0.0256,0.2002,299.68331,13.97853,29.47685,0.9012,0.0902,0.0086,0.0788,0.1974,0.0088,0.0534,0.063,0.1694,0.0088,0.0534,2110.94377,13.78597,28.59999,0.8816,0.0558,0.0626,0.0508,0.13,0.0468,0.3952,0.0372,0.1044,0.0468,0.3952
2,17673.98647,11.55633,24.56159,0.6596,0.2778,0.0626,0.287,0.5862,0.055,0.4126,0.1728,0.3938,0.055,0.4126,12476.96429,10.50254,23.23503,0.6104,0.3542,0.0354,0.3614,0.7426,0.0314,0.2232,0.2262,0.5112,0.0314,0.2232,1354.02683,13.9485,29.52044,0.8948,0.0964,0.0088,0.0916,0.2164,0.0094,0.0546,0.0662,0.1786,0.0094,0.0546,6621.94162,13.4953,28.07715,0.8614,0.0688,0.0698,0.069,0.1542,0.0618,0.455,0.0476,0.1202,0.0618,0.455
3,17873.42515,11.75005,25.00242,0.6844,0.2604,0.0552,0.306,0.5228,0.0626,0.4308,0.1828,0.359,0.0626,0.4308,12808.45649,10.54891,23.4476,0.633,0.3344,0.0326,0.3894,0.6874,0.0356,0.2394,0.241,0.4896,0.0356,0.2394,905.32082,13.91985,29.41324,0.9014,0.0898,0.0088,0.0946,0.1964,0.0124,0.0622,0.073,0.165,0.0124,0.0622,5452.44235,13.65371,28.38816,0.8786,0.0618,0.0596,0.0686,0.1356,0.068,0.4688,0.0482,0.1028,0.068,0.4688
4,17038.14429,11.71853,24.76926,0.6756,0.2624,0.062,0.3004,0.4836,0.041,0.438,0.1842,0.3424,0.041,0.438,12801.96867,10.40078,23.156,0.6182,0.3476,0.0342,0.3912,0.6482,0.0244,0.241,0.2468,0.476,0.0244,0.241,1293.8773,13.91924,29.45544,0.8936,0.0966,0.0098,0.0996,0.193,0.0088,0.0636,0.0776,0.1634,0.0088,0.0636,5134.74152,13.5725,28.09685,0.8666,0.066,0.0674,0.0708,0.1334,0.045,0.4788,0.052,0.1054,0.045,0.4788
5,17712.51617,11.83126,24.96234,0.6806,0.2568,0.0626,0.2526,0.5244,0.0532,0.4386,0.1542,0.3622,0.0532,0.4386,13215.31159,10.5337,23.22689,0.6252,0.338,0.0368,0.3252,0.699,0.0312,0.2444,0.2094,0.5054,0.0312,0.2444,884.30436,13.98094,29.49278,0.9024,0.0882,0.0094,0.0778,0.1972,0.0104,0.06,0.0626,0.1658,0.0104,0.06,4962.17722,13.51322,27.99751,0.8716,0.061,0.0674,0.0536,0.1362,0.0566,0.4742,0.0392,0.106,0.0566,0.4742
6,15226.5543,11.35307,24.18785,0.6478,0.2912,0.061,0.357,0.4924,0.0306,0.3756,0.2234,0.353,0.0306,0.3756,11933.19785,10.32975,22.90199,0.6036,0.3606,0.0358,0.4332,0.6138,0.0198,0.2104,0.2728,0.4474,0.0198,0.2104,576.75653,13.93446,29.3561,0.8944,0.0958,0.0098,0.1114,0.1734,0.0072,0.0564,0.0836,0.1466,0.0072,0.0564,2736.63496,13.68947,28.37934,0.8642,0.0674,0.0684,0.0782,0.1256,0.035,0.427,0.0576,0.1044,0.035,0.427
7,17145.66908,11.70031,24.93719,0.683,0.261,0.056,0.3132,0.4994,0.0462,0.4264,0.192,0.3546,0.0462,0.4264,13285.39383,10.62099,23.62644,0.6366,0.3326,0.0308,0.3956,0.6454,0.0256,0.217,0.2508,0.4742,0.0256,0.217,1313.11705,14.00106,29.53533,0.9058,0.0866,0.0076,0.0972,0.182,0.0074,0.0508,0.0752,0.1518,0.0074,0.0508,5047.54595,13.60496,28.21324,0.8756,0.0622,0.0622,0.0724,0.1264,0.052,0.467,0.0508,0.0984,0.052,0.467
8,13905.10097,11.96927,25.22323,0.7,0.2256,0.0744,0.2606,0.4538,0.0478,0.3938,0.1658,0.3276,0.0478,0.3938,12153.78486,10.52241,23.46293,0.6274,0.3258,0.0468,0.367,0.659,0.0276,0.2336,0.239,0.489,0.0276,0.2336,1640.45189,13.91072,29.51436,0.894,0.0918,0.0142,0.094,0.2008,0.0094,0.0662,0.0752,0.1664,0.0094,0.0662,2597.37094,13.58333,28.09271,0.862,0.0578,0.0802,0.0618,0.1278,0.0532,0.427,0.0456,0.0972,0.0532,0.427
9,18177.05873,12.02007,25.45802,0.701,0.2484,0.0506,0.2884,0.4744,0.0582,0.4438,0.1732,0.3298,0.0582,0.4438,13687.37186,10.48155,23.47647,0.6362,0.334,0.0298,0.3682,0.6472,0.0298,0.2336,0.235,0.4808,0.0298,0.2336,1301.91686,13.91203,29.40545,0.9014,0.0914,0.0072,0.0914,0.1916,0.0102,0.0586,0.0724,0.1642,0.0102,0.0586,4943.98157,13.69479,28.41677,0.882,0.0642,0.0538,0.0674,0.1326,0.0614,0.4712,0.0476,0.1038,0.0614,0.4712
10,19679.94565,11.75974,24.97534,0.6722,0.27,0.0578,0.2858,0.6002,0.036,0.5004,0.1748,0.4,0.036,0.5004,15323.26161,10.73794,23.70252,0.6394,0.3262,0.0344,0.3412,0.7336,0.0192,0.2632,0.2136,0.5086,0.0192,0.2632,2146.81032,14.03617,29.6266,0.906,0.0852,0.0088,0.0782,0.2044,0.0072,0.0714,0.06,0.1698,0.0072,0.0714,5823.07228,13.69779,28.3895,0.869,0.0658,0.0652,0.0628,0.1582,0.0394,0.5464,0.0442,0.1198,0.0394,0.5464
