run,TP.c,TP.q,TP.lyg,TP.death.other,TP.death.stroke,TP.death.bleed,TP.stroke.dep,TP.stroke.indep,TP.bleed.ich,TP.bleed.nich,TP.count.p.dep,TP.count.p.indep,TP.count.p.ich,TP.count.p.nich,FN.c,FN.q,FN.lyg,FN.death.other,FN.death.stroke,FN.death.bleed,FN.stroke.dep,FN.stroke.indep,FN.bleed.ich,FN.bleed.nich,FN.count.p.dep,FN.count.p.indep,FN.count.p.ich,FN.count.p.nich,TN.c,TN.q,TN.lyg,TN.death.other,TN.death.stroke,TN.death.bleed,TN.stroke.dep,TN.stroke.indep,TN.bleed.ich,TN.bleed.nich,TN.count.p.dep,TN.count.p.indep,TN.count.p.ich,TN.count.p.nich,FP.c,FP.q,FP.lyg,FP.death.other,FP.death.stroke,FP.death.bleed,FP.stroke.dep,FP.stroke.indep,FP.bleed.ich,FP.bleed.nich,FP.count.p.dep,FP.count.p.indep,FP.count.p.ich,FP.count.p.nich
1,12949.18401,11.76516,24.87575,0.6822,0.2606,0.0572,0.248,0.5316,0.0412,0.3516,0.1604,0.3698,0.0412,0.3516,10207.68349,10.52003,23.3053,0.6228,0.345,0.0322,0.333,0.6964,0.0246,0.1942,0.2168,0.4982,0.0246,0.1942,1255.21472,13.99299,29.48146,0.8986,0.0928,0.0086,0.0842,0.1982,0.0086,0.0522,0.0646,0.1672,0.0086,0.0522,2884.8159,13.7526,28.48884,0.8798,0.0584,0.0618,0.0514,0.1328,0.0468,0.3904,0.0382,0.1042,0.0468,0.3904
2,18127.64247,11.79091,24.91311,0.685,0.2504,0.0646,0.2564,0.5284,0.0564,0.419,0.1552,0.3538,0.0564,0.419,12347.83765,10.53659,23.33162,0.6318,0.3328,0.0354,0.3348,0.7084,0.0314,0.2236,0.2142,0.5062,0.0314,0.2236,1010.29561,13.94678,29.48968,0.8972,0.093,0.0098,0.0806,0.2152,0.0106,0.0592,0.0646,0.18,0.0106,0.0592,5130.12969,13.55296,28.11921,0.868,0.0622,0.0698,0.0602,0.1404,0.0618,0.4534,0.0424,0.1092,0.0618,0.4534
3,17313.90447,12.11332,25.76619,0.7096,0.2336,0.0568,0.2764,0.4744,0.0646,0.443,0.1694,0.336,0.0646,0.443,12185.53866,10.5815,23.64245,0.6462,0.32,0.0338,0.3638,0.6634,0.0356,0.2426,0.2348,0.4882,0.0356,0.2426,1170.64054,13.94057,29.49033,0.9044,0.0868,0.0088,0.0914,0.1952,0.0124,0.0624,0.0708,0.1674,0.0124,0.0624,6106.53817,13.70196,28.5536,0.8816,0.0592,0.0592,0.0642,0.1288,0.0674,0.4652,0.0448,0.096,0.0674,0.4652
4,17635.98064,11.73241,24.84193,0.6744,0.2636,0.062,0.3034,0.4846,0.0418,0.4408,0.1878,0.3446,0.0418,0.4408,13765.68395,10.4055,23.19141,0.6168,0.3496,0.0336,0.4004,0.6462,0.0242,0.2338,0.2494,0.472,0.0242,0.2338,1314.60441,13.9062,29.4121,0.895,0.0952,0.0098,0.096,0.1936,0.0088,0.0632,0.0774,0.1648,0.0088,0.0632,4633.48674,13.58077,28.12565,0.8666,0.066,0.0674,0.0714,0.1328,0.045,0.4788,0.0524,0.1042,0.045,0.4788
5,18032.30267,11.9738,25.22174,0.6906,0.2454,0.064,0.247,0.4996,0.0544,0.449,0.1486,0.344,0.0544,0.449,13645.41084,10.56376,23.35191,0.6308,0.3344,0.0348,0.3174,0.6938,0.0306,0.238,0.2048,0.506,0.0306,0.238,1376.82782,13.96951,29.50128,0.9044,0.087,0.0086,0.0742,0.1962,0.0098,0.0582,0.0604,0.167,0.0098,0.0582,5026.1173,13.6267,28.20705,0.8732,0.0598,0.067,0.0502,0.137,0.0564,0.473,0.0372,0.104,0.0564,0.473
6,14281.46209,12.01701,25.41304,0.699,0.2378,0.0632,0.2942,0.4068,0.033,0.3918,0.1868,0.3008,0.033,0.3918,12331.08667,10.46939,23.38746,0.6312,0.3318,0.037,0.3864,0.5772,0.02,0.2178,0.2596,0.4462,0.02,0.2178,1015.69765,13.93245,29.43135,0.901,0.0898,0.0092,0.1016,0.1692,0.0066,0.0536,0.0806,0.146,0.0066,0.0536,2515.77169,13.81354,28.66913,0.8768,0.054,0.0692,0.0642,0.1128,0.0354,0.4278,0.048,0.0922,0.0354,0.4278
7,17360.51577,11.89176,25.32394,0.699,0.2426,0.0584,0.2876,0.4724,0.0486,0.439,0.1802,0.3354,0.0486,0.439,13076.70361,10.65194,23.76364,0.6466,0.322,0.0314,0.3706,0.6358,0.026,0.2226,0.2438,0.4696,0.026,0.2226,1869.3399,14.00627,29.57014,0.9074,0.085,0.0076,0.0938,0.1798,0.0078,0.0516,0.0726,0.156,0.0078,0.0516,4908.02654,13.63799,28.28624,0.8792,0.0582,0.0626,0.0628,0.1264,0.052,0.4694,0.0474,0.0982,0.052,0.4694
8,14685.52546,11.9116,25.2145,0.6904,0.2362,0.0734,0.2708,0.4764,0.0472,0.3894,0.1716,0.3374,0.0472,0.3894,10808.52924,10.48731,23.39167,0.6256,0.3284,0.046,0.3688,0.6684,0.027,0.2316,0.238,0.488,0.027,0.2316,1890.91899,13.8911,29.45147,0.894,0.0916,0.0144,0.0952,0.1974,0.0096,0.0686,0.0738,0.1708,0.0096,0.0686,3563.65691,13.63205,28.22795,0.8642,0.0556,0.0802,0.0586,0.1288,0.0532,0.4274,0.0432,0.1008,0.0532,0.4274
9,19592.05631,12.01463,25.42152,0.703,0.2462,0.0508,0.281,0.4718,0.0586,0.446,0.171,0.3328,0.0586,0.446,13163.68948,10.51481,23.45788,0.638,0.3318,0.0302,0.3644,0.6458,0.03,0.2376,0.2332,0.4812,0.03,0.2376,1447.7989,13.9176,29.4347,0.9022,0.0906,0.0072,0.0928,0.1896,0.0102,0.0592,0.0722,0.1646,0.0102,0.0592,4302.50275,13.69766,28.41846,0.8832,0.063,0.0538,0.065,0.1304,0.0614,0.4708,0.0462,0.1022,0.0614,0.4708
10,17519.39613,12.18153,25.59605,0.712,0.2262,0.0618,0.2372,0.5052,0.0372,0.524,0.1474,0.3484,0.0372,0.524,14236.11901,10.87262,24.0109,0.6568,0.307,0.0362,0.3052,0.7012,0.021,0.278,0.2014,0.5128,0.021,0.278,1255.21472,14.02954,29.58174,0.91,0.0814,0.0086,0.0728,0.1994,0.0066,0.067,0.0574,0.1724,0.0066,0.067,4623.82989,13.75692,28.48933,0.8736,0.0612,0.0652,0.0568,0.1498,0.0394,0.5464,0.0404,0.1104,0.0394,0.5464
