"","0","0.1","0.2","0.3","0.4","0.5","0.6","0.7","0.8","0.9","1"
"0",-10627.7923563583,-10651.737260301,-10681.6683902296,-10720.1512715663,-10771.4617800152,-10843.2964918435,-10951.0485595862,-11130.6353391571,-11489.8088982993,-12567.329575726,Inf
"0.1",-11261.979221629,-11361.1600940514,-11486.5547245116,-11650.1381780079,-11872.489709495,-12192.2125461577,-12691.198172366,-13578.940349285,-15599.6676155441,-24747.1076698142,8365.23905147852
"0.2",-11956.2807448043,-12146.0963479745,-12389.1250323228,-12711.3913821796,-13159.1955712051,-13823.6353168974,-14912.072223143,-17020.5183437698,-22847.0045437296,-115525.31124969,5876.24793461245
"0.3",-12719.669601141,-13019.2806451783,-13408.3110576457,-13933.8132951639,-14682.8737590092,-15836.6943603737,-17844.7994568102,-22213.6368350349,-39042.5080966423,56792.8204076531,5046.58422899041
"0.4",-13562.9976347415,-13996.4815909926,-14568.2745269424,-15357.1349934191,-16515.6287110522,-18383.0408387383,-21896.9529806875,-30951.8211465559,-107494.344621105,25193.3120226614,4631.75237617939
"0.5",-14499.5149877023,-15097.4625434768,-15900.3471408754,-17035.3160093444,-18762.1193297291,-21706.9426680791,-27860.6363216263,-48746.185401267,184183.019464103,17087.2001368344,4382.85326449279
"0.6",-15545.571387913,-16347.3321668129,-17445.9032996626,-19043.5400038782,-21580.2691263405,-26228.7287317847,-37505.9500849282,-104817.355744911,53185.9829981184,13374.5546091091,4216.92052336838
"0.7",-16721.5787986467,-17778.4826367007,-19260.7343321187,-21489.7880250983,-25220.0913954576,-32738.2785824982,-55764.3165742942,1435959.22174886,32263.4807210234,11245.1012116064,4098.39713685103
"0.8",-18053.3565971176,-19433.4371383631,-21421.9271991667,-24534.9116517765,-30102.2702119708,-42915.5718975222,-103478.861306825,97391.2972326591,23720.6022452406,9864.12761722172,4009.50459696295
"0.9",-19574.0492002078,-21369.1465567755,-24039.0970855713,-28429.5049893366,-36993.7640810236,-61076.2421889024,-549317.402544265,51983.7038616067,19078.4465560542,8895.99646021703,3940.36595482777
"1",-21326.9220428627,-23663.6755803226,-27273.5681483378,-33586.6358223928,-47456.4007831056,-102675.764643955,177635.65399702,36155.4143084314,16161.9506918275,8179.65245992274,3885.05504111963
