run,TP.c,TP.q,TP.lyg,TP.death.other,TP.death.stroke,TP.death.bleed,TP.stroke.dep,TP.stroke.indep,TP.bleed.ich,TP.bleed.nich,TP.count.p.dep,TP.count.p.indep,TP.count.p.ich,TP.count.p.nich,FN.c,FN.q,FN.lyg,FN.death.other,FN.death.stroke,FN.death.bleed,FN.stroke.dep,FN.stroke.indep,FN.bleed.ich,FN.bleed.nich,FN.count.p.dep,FN.count.p.indep,FN.count.p.ich,FN.count.p.nich,TN.c,TN.q,TN.lyg,TN.death.other,TN.death.stroke,TN.death.bleed,TN.stroke.dep,TN.stroke.indep,TN.bleed.ich,TN.bleed.nich,TN.count.p.dep,TN.count.p.indep,TN.count.p.ich,TN.count.p.nich,FP.c,FP.q,FP.lyg,FP.death.other,FP.death.stroke,FP.death.bleed,FP.stroke.dep,FP.stroke.indep,FP.bleed.ich,FP.bleed.nich,FP.count.p.dep,FP.count.p.indep,FP.count.p.ich,FP.count.p.nich
339,6928.0817,9.30918,18.27595,0.796,0.1414,0.0626,0.1624,0.2892,0.0276,0.327,0.1158,0.2344,0.0276,0.327,6649.98574,8.27263,17.12383,0.7296,0.2374,0.033,0.2562,0.4904,0.0146,0.167,0.1982,0.4078,0.0146,0.167,1265.98973,10.15641,19.80779,0.9024,0.085,0.0126,0.0934,0.1818,0.0064,0.0586,0.0764,0.164,0.0064,0.0586,1720.37407,10.04315,19.24799,0.8928,0.0412,0.066,0.0488,0.1016,0.0294,0.3462,0.0386,0.0844,0.0294,0.3462
340,9215.49136,9.13222,17.952,0.7834,0.1678,0.0488,0.1702,0.344,0.0354,0.3554,0.1202,0.2644,0.0354,0.3554,7617.70392,8.09965,16.79374,0.7158,0.2598,0.0244,0.2544,0.5398,0.0184,0.1826,0.1922,0.429,0.0184,0.1826,1748.39273,10.12021,19.70415,0.8974,0.0938,0.0088,0.0902,0.2022,0.0084,0.062,0.0742,0.1746,0.0084,0.062,2972.34638,10.05195,19.31989,0.8982,0.0518,0.05,0.0524,0.123,0.0362,0.3722,0.041,0.1014,0.0362,0.3722
341,6867.01288,9.44547,18.57203,0.8252,0.1318,0.043,0.1282,0.2908,0.0292,0.3096,0.097,0.2266,0.0292,0.3096,6440.90693,8.3197,17.18873,0.7432,0.2358,0.021,0.2116,0.5084,0.0158,0.1386,0.1678,0.4236,0.0158,0.1386,1146.45401,10.19704,19.83602,0.9152,0.0792,0.0056,0.0794,0.1756,0.006,0.0452,0.064,0.1546,0.006,0.0452,2554.39193,10.18207,19.62183,0.9136,0.0414,0.045,0.0422,0.1038,0.032,0.3294,0.033,0.084,0.032,0.3294
342,10022.48007,9.19572,18.17771,0.7924,0.1642,0.0434,0.1708,0.335,0.0562,0.3376,0.1228,0.261,0.0562,0.3376,6847.17486,8.21395,17.00322,0.727,0.2506,0.0224,0.2588,0.5184,0.0286,0.171,0.192,0.4164,0.0286,0.171,1651.22685,10.12775,19.70988,0.9036,0.089,0.0074,0.092,0.1922,0.012,0.0576,0.0766,0.1668,0.012,0.0576,4074.35046,10.09934,19.49614,0.9026,0.0522,0.0452,0.0566,0.1236,0.0604,0.362,0.0442,0.1008,0.0604,0.362
343,7970.70995,9.26595,18.09842,0.797,0.1344,0.0686,0.1304,0.3022,0.0522,0.348,0.0968,0.2368,0.0522,0.348,7036.89128,8.25374,16.97029,0.73,0.236,0.034,0.214,0.5174,0.0248,0.1672,0.1674,0.429,0.0248,0.1672,1423.34095,10.17643,19.81769,0.9038,0.084,0.0122,0.0778,0.1918,0.0084,0.0552,0.0634,0.1678,0.0084,0.0552,4098.91966,9.99069,19.22707,0.886,0.0442,0.0698,0.0462,0.1106,0.0544,0.3566,0.0348,0.0904,0.0544,0.3566
344,7744.83228,9.28518,18.23479,0.7934,0.1622,0.0444,0.16,0.3058,0.031,0.3522,0.1158,0.242,0.031,0.3522,6802.74624,8.20632,16.90863,0.7202,0.2578,0.022,0.2414,0.4948,0.0156,0.1672,0.1836,0.4092,0.0156,0.1672,1382.74601,10.12703,19.7171,0.8986,0.0948,0.0066,0.088,0.1874,0.0062,0.0588,0.0738,0.1636,0.0062,0.0588,2469.24823,10.10774,19.44208,0.9,0.054,0.046,0.0544,0.113,0.0318,0.3658,0.0396,0.0926,0.0318,0.3658
345,8432.69559,9.14859,18.08559,0.7914,0.1608,0.0478,0.173,0.359,0.0326,0.3132,0.1228,0.2788,0.0326,0.3132,6871.57536,8.2199,17.05636,0.7354,0.2396,0.025,0.2552,0.5388,0.0178,0.1506,0.1882,0.4298,0.0178,0.1506,1407.35701,10.15689,19.7633,0.9116,0.0802,0.0082,0.085,0.1862,0.0078,0.0528,0.0692,0.1654,0.0078,0.0528,2616.48785,10.08876,19.427,0.9022,0.0458,0.052,0.0522,0.1156,0.0346,0.3364,0.0416,0.0952,0.0346,0.3364
346,7595.54225,9.21019,18.01741,0.78,0.147,0.073,0.154,0.2966,0.0468,0.3382,0.1112,0.232,0.0468,0.3382,7394.70061,8.12949,16.81119,0.7114,0.2506,0.038,0.2412,0.5152,0.0224,0.1664,0.1866,0.4228,0.0224,0.1664,1493.08405,10.13869,19.72968,0.8968,0.0888,0.0144,0.0878,0.187,0.0076,0.0568,0.0728,0.1642,0.0076,0.0568,3776.96026,9.98033,19.18807,0.879,0.0448,0.0762,0.0502,0.104,0.0494,0.3522,0.0376,0.0858,0.0494,0.3522
347,8727.82817,9.4078,18.54378,0.8096,0.148,0.0424,0.1574,0.286,0.0342,0.3384,0.1124,0.2254,0.0342,0.3384,7612.36147,8.20602,17.01418,0.7284,0.2492,0.0224,0.247,0.4902,0.0178,0.168,0.189,0.4066,0.0178,0.168,1404.9658,10.14766,19.79419,0.904,0.0894,0.0066,0.089,0.182,0.0074,0.057,0.075,0.1602,0.0074,0.057,2176.73481,10.17282,19.60452,0.9094,0.0458,0.0448,0.0524,0.1016,0.0364,0.358,0.0392,0.0858,0.0364,0.358
348,8460.18273,9.27372,18.1432,0.7926,0.1454,0.062,0.1424,0.3338,0.0476,0.3472,0.1004,0.26,0.0476,0.3472,7417.02788,8.22239,17.00431,0.7258,0.2424,0.0318,0.2282,0.553,0.0244,0.177,0.171,0.45,0.0244,0.177,1531.88973,10.14811,19.75356,0.9002,0.0876,0.0122,0.08,0.2072,0.0098,0.059,0.0646,0.1812,0.0098,0.059,3656.94364,10.0224,19.31407,0.8884,0.0468,0.0648,0.0476,0.1204,0.05,0.363,0.0356,0.0956,0.05,0.363
