run,TP.c,TP.q,TP.lyg,TP.death.other,TP.death.stroke,TP.death.bleed,TP.stroke.dep,TP.stroke.indep,TP.bleed.ich,TP.bleed.nich,TP.count.p.dep,TP.count.p.indep,TP.count.p.ich,TP.count.p.nich,FN.c,FN.q,FN.lyg,FN.death.other,FN.death.stroke,FN.death.bleed,FN.stroke.dep,FN.stroke.indep,FN.bleed.ich,FN.bleed.nich,FN.count.p.dep,FN.count.p.indep,FN.count.p.ich,FN.count.p.nich,TN.c,TN.q,TN.lyg,TN.death.other,TN.death.stroke,TN.death.bleed,TN.stroke.dep,TN.stroke.indep,TN.bleed.ich,TN.bleed.nich,TN.count.p.dep,TN.count.p.indep,TN.count.p.ich,TN.count.p.nich,FP.c,FP.q,FP.lyg,FP.death.other,FP.death.stroke,FP.death.bleed,FP.stroke.dep,FP.stroke.indep,FP.bleed.ich,FP.bleed.nich,FP.count.p.dep,FP.count.p.indep,FP.count.p.ich,FP.count.p.nich
203,8075.28882,9.13114,17.99281,0.7748,0.1666,0.0586,0.1792,0.3134,0.0416,0.3346,0.1258,0.247,0.0416,0.3346,7534.50589,8.1297,16.84826,0.7126,0.2576,0.0298,0.2724,0.4936,0.0218,0.1732,0.2004,0.3982,0.0218,0.1732,1675.46638,10.11175,19.71865,0.8966,0.093,0.0104,0.0978,0.1844,0.0088,0.0576,0.0784,0.155,0.0088,0.0576,3196.96689,10.03026,19.25732,0.8884,0.0504,0.0612,0.055,0.1108,0.0442,0.3544,0.0408,0.0894,0.0442,0.3544
204,7643.61999,9.20662,18.01252,0.7762,0.166,0.0578,0.1454,0.3184,0.0442,0.3456,0.1034,0.2462,0.0442,0.3456,7105.80524,8.14003,16.70685,0.704,0.2668,0.0292,0.2274,0.5174,0.0238,0.1768,0.1712,0.4246,0.0238,0.1768,1144.57496,10.11985,19.63111,0.896,0.0938,0.0102,0.0824,0.1872,0.01,0.0588,0.0668,0.164,0.01,0.0588,4103.68033,10.06391,19.37996,0.8878,0.0518,0.0604,0.05,0.11,0.047,0.366,0.0382,0.09,0.047,0.366
205,8614.8261,9.20159,18.12398,0.7838,0.1634,0.0528,0.1546,0.3552,0.0404,0.33,0.1064,0.276,0.0404,0.33,7543.54121,8.25337,16.99392,0.7236,0.2502,0.0262,0.2264,0.5536,0.0218,0.1624,0.1698,0.4416,0.0218,0.1624,1307.54803,10.17024,19.73423,0.9056,0.0856,0.0088,0.079,0.1962,0.0096,0.0548,0.065,0.1706,0.0096,0.0548,3058.41214,10.07247,19.39328,0.8978,0.0468,0.0554,0.047,0.1174,0.0426,0.3498,0.037,0.0952,0.0426,0.3498
206,7950.90942,8.9383,17.76047,0.7662,0.1944,0.0394,0.1962,0.3794,0.0342,0.3332,0.1404,0.2976,0.0342,0.3332,7740.94211,8.16421,16.83593,0.7114,0.2672,0.0214,0.2724,0.5116,0.0176,0.1708,0.196,0.406,0.0176,0.1708,1814.41722,10.10167,19.62187,0.8932,0.0992,0.0076,0.0992,0.2,0.0082,0.0632,0.0764,0.1696,0.0082,0.0632,2774.82814,10.06084,19.35088,0.891,0.0668,0.0422,0.0662,0.1366,0.0376,0.3682,0.052,0.1094,0.0376,0.3682
207,8017.13971,9.03388,17.84295,0.764,0.1778,0.0582,0.1828,0.3436,0.0282,0.3326,0.1296,0.267,0.0282,0.3326,7051.60971,8.08088,16.75439,0.706,0.264,0.03,0.2712,0.5158,0.0158,0.1718,0.1982,0.4104,0.0158,0.1718,1352.99632,10.12184,19.6887,0.8964,0.094,0.0096,0.0938,0.1914,0.0066,0.0534,0.075,0.166,0.0066,0.0534,3192.94063,10.00275,19.24941,0.885,0.0534,0.0616,0.0572,0.1172,0.03,0.3556,0.0438,0.096,0.03,0.3556
208,10448.7258,9.06968,17.86274,0.7834,0.1628,0.0538,0.1846,0.3258,0.049,0.375,0.1306,0.2582,0.049,0.375,8955.61505,8.18629,17.01836,0.7262,0.2486,0.0252,0.2748,0.5048,0.0254,0.1772,0.2036,0.4054,0.0254,0.1772,983.71089,10.14254,19.74634,0.9052,0.0862,0.0086,0.095,0.1848,0.0098,0.056,0.0792,0.1612,0.0098,0.056,2343.67491,9.99254,19.19098,0.8964,0.048,0.0556,0.0604,0.1088,0.0514,0.3902,0.0452,0.0902,0.0514,0.3902
209,7987.42688,9.20201,18.10383,0.7942,0.164,0.0418,0.1538,0.3344,0.0524,0.324,0.1118,0.264,0.0524,0.324,6805.26731,8.17708,16.89404,0.7248,0.2536,0.0216,0.2418,0.5226,0.0264,0.1526,0.1806,0.4224,0.0264,0.1526,1812.24586,10.08808,19.66089,0.899,0.0936,0.0074,0.0874,0.1978,0.0112,0.0556,0.07,0.173,0.0112,0.0556,3644.48674,10.07557,19.44917,0.9046,0.052,0.0434,0.0548,0.1158,0.0554,0.3386,0.041,0.0964,0.0554,0.3386
210,7851.62677,9.27364,18.20482,0.7908,0.1602,0.049,0.1412,0.3348,0.0246,0.3136,0.1008,0.2598,0.0246,0.3136,7202.36402,8.14248,16.80167,0.715,0.2592,0.0258,0.2212,0.5456,0.0138,0.1546,0.164,0.4424,0.0138,0.1546,1629.10612,10.14546,19.73678,0.898,0.0936,0.0084,0.0796,0.203,0.006,0.0552,0.0646,0.1774,0.006,0.0552,2164.9653,10.11591,19.3947,0.8986,0.0492,0.0522,0.0454,0.1146,0.0264,0.3348,0.034,0.0922,0.0264,0.3348
211,8488.84266,9.17563,18.11692,0.7842,0.176,0.0398,0.1968,0.3762,0.0456,0.352,0.132,0.2924,0.0456,0.352,7380.4249,8.17455,16.94351,0.7274,0.2516,0.021,0.272,0.5374,0.0236,0.183,0.194,0.428,0.0236,0.183,976.50776,10.15298,19.7658,0.9086,0.0844,0.007,0.0898,0.1886,0.0102,0.061,0.0726,0.1606,0.0102,0.061,2555.82771,10.12033,19.4582,0.9088,0.0496,0.0416,0.0548,0.1206,0.0478,0.3782,0.0412,0.0976,0.0478,0.3782
212,8898.17085,9.0469,17.75097,0.7724,0.168,0.0596,0.1734,0.3668,0.0286,0.409,0.1206,0.2854,0.0286,0.409,9139.69412,8.21899,16.97678,0.7152,0.2526,0.0322,0.2592,0.5506,0.0162,0.209,0.1856,0.4278,0.0162,0.209,1587.38098,10.18874,19.7869,0.9078,0.0816,0.0106,0.082,0.1878,0.0068,0.0688,0.0662,0.1626,0.0068,0.0688,3130.61946,10.05815,19.3014,0.887,0.0496,0.0634,0.0514,0.1228,0.0304,0.4366,0.0394,0.099,0.0304,0.4366
