run,TP.c,TP.q,TP.lyg,TP.death.other,TP.death.stroke,TP.death.bleed,TP.stroke.dep,TP.stroke.indep,TP.bleed.ich,TP.bleed.nich,TP.count.p.dep,TP.count.p.indep,TP.count.p.ich,TP.count.p.nich,FN.c,FN.q,FN.lyg,FN.death.other,FN.death.stroke,FN.death.bleed,FN.stroke.dep,FN.stroke.indep,FN.bleed.ich,FN.bleed.nich,FN.count.p.dep,FN.count.p.indep,FN.count.p.ich,FN.count.p.nich,TN.c,TN.q,TN.lyg,TN.death.other,TN.death.stroke,TN.death.bleed,TN.stroke.dep,TN.stroke.indep,TN.bleed.ich,TN.bleed.nich,TN.count.p.dep,TN.count.p.indep,TN.count.p.ich,TN.count.p.nich,FP.c,FP.q,FP.lyg,FP.death.other,FP.death.stroke,FP.death.bleed,FP.stroke.dep,FP.stroke.indep,FP.bleed.ich,FP.bleed.nich,FP.count.p.dep,FP.count.p.indep,FP.count.p.ich,FP.count.p.nich
1,14178.65182,12.50072,27.49854,0.6706,0.2672,0.0622,0.264,0.5304,0.0468,0.3928,0.1616,0.3652,0.0468,0.3928,11754.305,11.05419,25.52124,0.6006,0.3622,0.0372,0.3548,0.7226,0.0282,0.2244,0.224,0.5148,0.0282,0.2244,1722.43853,14.67911,32.41255,0.8806,0.1084,0.011,0.0938,0.235,0.011,0.0636,0.0744,0.1946,0.011,0.0636,4164.40786,14.44648,31.32724,0.8614,0.07,0.0686,0.0624,0.1512,0.052,0.4294,0.0458,0.1174,0.052,0.4294
2,19608.7554,11.97693,26.43144,0.623,0.3102,0.0668,0.333,0.645,0.059,0.436,0.1908,0.4214,0.059,0.436,14738.67084,10.90198,25.11091,0.5822,0.3752,0.0426,0.3974,0.7672,0.035,0.2548,0.2352,0.5264,0.035,0.2548,2302.16755,14.61025,32.32597,0.8758,0.1126,0.0116,0.102,0.2576,0.013,0.0736,0.0762,0.2104,0.013,0.0736,6099.49732,14.19854,30.80237,0.8398,0.0848,0.0754,0.0854,0.1892,0.0652,0.4872,0.058,0.1454,0.0652,0.4872
3,20003.80219,12.28112,27.30258,0.6568,0.2846,0.0586,0.3548,0.5618,0.067,0.4568,0.201,0.3842,0.067,0.4568,13750.54432,10.87423,25.2181,0.5976,0.3646,0.0378,0.4362,0.7232,0.0396,0.2678,0.2578,0.502,0.0396,0.2678,1575.06866,14.60573,32.31672,0.8826,0.1066,0.0108,0.1098,0.2356,0.0148,0.0764,0.0858,0.1928,0.0148,0.0764,5365.93379,14.39666,31.27473,0.8534,0.0798,0.0668,0.0936,0.1726,0.0732,0.51,0.063,0.13,0.0732,0.51
4,18205.85638,12.2431,26.97169,0.6402,0.2942,0.0656,0.351,0.5306,0.0444,0.4646,0.2066,0.3632,0.0444,0.4646,14834.27902,10.81797,25.08598,0.5788,0.3808,0.0404,0.4336,0.6878,0.0262,0.264,0.267,0.4912,0.0262,0.264,1787.82776,14.61886,32.39916,0.8746,0.1144,0.011,0.1188,0.23,0.01,0.0774,0.0926,0.1916,0.01,0.0774,6373.75452,14.32785,31.03851,0.8444,0.0814,0.0742,0.0996,0.157,0.048,0.5152,0.0684,0.1206,0.048,0.5152
5,20683.12773,12.3332,27.10932,0.646,0.2866,0.0674,0.2894,0.5774,0.0566,0.4742,0.1714,0.3862,0.0566,0.4742,14478.97621,10.9562,25.11357,0.5912,0.368,0.0408,0.3568,0.7472,0.0342,0.2656,0.2242,0.5194,0.0342,0.2656,872.99119,14.67928,32.3963,0.8842,0.1056,0.0102,0.0888,0.2316,0.0118,0.0678,0.0698,0.191,0.0118,0.0678,5716.75586,14.28994,30.93019,0.8502,0.0758,0.074,0.072,0.1634,0.0604,0.5112,0.0504,0.1234,0.0604,0.5112
6,16945.6532,11.83725,26.20554,0.6168,0.3178,0.0654,0.3982,0.5314,0.034,0.4072,0.2374,0.38,0.034,0.4072,13952.72722,10.70974,24.78051,0.5668,0.394,0.0392,0.4798,0.6528,0.021,0.235,0.2896,0.4666,0.021,0.235,1313.63739,14.62024,32.28488,0.874,0.1134,0.0126,0.1286,0.2068,0.0092,0.074,0.0974,0.1726,0.0092,0.074,3996.58252,14.31986,31.01995,0.8396,0.0852,0.0752,0.105,0.1564,0.0392,0.4622,0.077,0.1258,0.0392,0.4622
7,20176.75864,12.16851,26.96358,0.654,0.2858,0.0602,0.352,0.5428,0.0504,0.4524,0.2072,0.376,0.0504,0.4524,15295.58973,10.97594,25.47695,0.6062,0.3598,0.034,0.4282,0.6866,0.0278,0.2438,0.2624,0.49,0.0278,0.2438,927.72062,14.71275,32.45854,0.8874,0.1032,0.0094,0.1074,0.216,0.0098,0.0622,0.0834,0.1848,0.0098,0.0622,5123.12471,14.36365,31.13078,0.8538,0.0784,0.0678,0.0994,0.1578,0.0546,0.5038,0.066,0.1242,0.0546,0.5038
8,15881.60761,12.47587,27.42193,0.6606,0.2586,0.0808,0.3088,0.5024,0.0536,0.4302,0.1856,0.348,0.0536,0.4302,13418.94855,10.93253,25.40671,0.5976,0.349,0.0534,0.4002,0.6972,0.0316,0.2654,0.2518,0.4998,0.0316,0.2654,2053.16646,14.59046,32.34791,0.8728,0.1092,0.018,0.1124,0.2376,0.0104,0.0812,0.0874,0.1962,0.0104,0.0812,2364.34261,14.33087,30.89911,0.839,0.072,0.089,0.081,0.1522,0.0574,0.474,0.0572,0.116,0.0574,0.474
9,19849.67579,12.52886,27.64485,0.6666,0.2792,0.0542,0.3276,0.5212,0.0616,0.4766,0.1922,0.3532,0.0616,0.4766,14963.50727,10.96587,25.48323,0.6068,0.3578,0.0354,0.396,0.6914,0.0354,0.2762,0.2512,0.4976,0.0354,0.2762,1268.43815,14.61803,32.32753,0.88,0.11,0.01,0.1054,0.2294,0.013,0.0778,0.084,0.192,0.013,0.0778,5521.38147,14.40761,31.25269,0.8656,0.075,0.0594,0.0824,0.1494,0.0652,0.5098,0.057,0.1152,0.0652,0.5098
10,22141.01263,12.23477,27.04379,0.6448,0.2922,0.063,0.32,0.6494,0.0376,0.53,0.1884,0.4274,0.0376,0.53,16527.40418,11.16902,25.58213,0.6048,0.3576,0.0376,0.3788,0.7832,0.022,0.2986,0.225,0.5384,0.022,0.2986,2510.68367,14.73537,32.51648,0.886,0.1032,0.0108,0.0954,0.2434,0.008,0.0838,0.0704,0.1966,0.008,0.0838,6238.08157,14.34966,31.02975,0.8504,0.0804,0.0692,0.0818,0.187,0.0422,0.5846,0.0552,0.1372,0.0422,0.5846
11,17596.81485,12.33393,27.20874,0.648,0.2854,0.0666,0.324,0.55,0.0454,0.4594,0.1932,0.372,0.0454,0.4594,14465.41587,10.75062,24.97661,0.5854,0.3722,0.0424,0.4022,0.7236,0.0274,0.2672,0.2484,0.508,0.0274,0.2672,1153.59543,14.53841,32.12389,0.8672,0.119,0.0138,0.118,0.2514,0.011,0.0852,0.0882,0.2078,0.011,0.0852,4526.10092,14.32944,31.05271,0.843,0.0836,0.0734,0.0918,0.1734,0.0482,0.502,0.0624,0.1278,0.0482,0.502
12,20298.88614,12.40139,27.41731,0.6632,0.2764,0.0604,0.3394,0.5446,0.0656,0.4812,0.2034,0.3736,0.0656,0.4812,14990.06285,10.94469,25.57529,0.6082,0.3548,0.037,0.418,0.7068,0.0386,0.266,0.2616,0.502,0.0386,0.266,1275.12754,14.69458,32.53153,0.8872,0.1038,0.009,0.1116,0.2242,0.0132,0.0668,0.0874,0.1884,0.0132,0.0668,6064.97598,14.37208,31.21367,0.8596,0.0748,0.0656,0.0892,0.158,0.0698,0.512,0.062,0.1234,0.0698,0.512
13,16121.61695,12.25479,26.99349,0.642,0.2862,0.0718,0.3166,0.5274,0.0472,0.4184,0.1892,0.3628,0.0472,0.4184,11533.9117,10.89653,25.10066,0.589,0.3676,0.0434,0.3832,0.6946,0.0276,0.2432,0.2448,0.4968,0.0276,0.2432,979.61457,14.72634,32.48381,0.882,0.106,0.012,0.1032,0.2144,0.0098,0.0618,0.0794,0.1834,0.0098,0.0618,4884.41462,14.4559,31.3496,0.8484,0.0732,0.0784,0.077,0.1434,0.0518,0.4624,0.0546,0.1122,0.0518,0.4624
14,19758.0571,12.50315,27.68769,0.6694,0.266,0.0646,0.3124,0.564,0.0486,0.4514,0.1882,0.3794,0.0486,0.4514,14388.57309,11.08272,25.9431,0.6186,0.3416,0.0398,0.394,0.7236,0.0292,0.258,0.2478,0.5078,0.0292,0.258,823.10485,14.69833,32.4861,0.8884,0.1014,0.0102,0.0996,0.2356,0.0112,0.0694,0.0798,0.1982,0.0112,0.0694,5003.79416,14.35229,31.13921,0.8612,0.0686,0.0702,0.0736,0.153,0.0508,0.4882,0.0518,0.1212,0.0508,0.4882
15,19731.7395,12.18119,26.9906,0.6306,0.3086,0.0608,0.358,0.54,0.0484,0.455,0.2058,0.3698,0.0484,0.455,13451.07167,10.71823,24.7465,0.5712,0.3896,0.0392,0.4166,0.6928,0.0294,0.2666,0.262,0.4936,0.0294,0.2666,2230.81687,14.59168,32.28336,0.8764,0.1132,0.0104,0.1142,0.2192,0.0108,0.0758,0.087,0.1864,0.0108,0.0758,3049.47055,14.35463,31.03835,0.8492,0.0812,0.0696,0.0938,0.1528,0.0534,0.511,0.0642,0.1158,0.0534,0.511
16,20088.2931,12.30257,26.93641,0.642,0.2804,0.0776,0.298,0.5096,0.0536,0.4686,0.1836,0.3544,0.0536,0.4686,13925.24035,10.96975,25.20325,0.5858,0.3684,0.0458,0.3792,0.6776,0.0306,0.2582,0.2432,0.4848,0.0306,0.2582,1173.86556,14.60991,32.23882,0.8734,0.1142,0.0124,0.1082,0.2248,0.0116,0.0728,0.0826,0.1948,0.0116,0.0728,5558.89991,14.16061,30.54817,0.8334,0.0806,0.086,0.0886,0.1542,0.0598,0.5142,0.0602,0.1182,0.0598,0.5142
17,21427.99251,12.124,26.68127,0.6204,0.3076,0.072,0.3314,0.5828,0.052,0.4514,0.1886,0.389,0.052,0.4514,15545.28965,10.70676,24.60206,0.5664,0.3898,0.0438,0.3978,0.7398,0.0302,0.2554,0.2428,0.5076,0.0302,0.2554,2082.58661,14.61407,32.29333,0.8784,0.11,0.0116,0.099,0.2312,0.0118,0.0718,0.0792,0.1922,0.0118,0.0718,4306.29403,14.29458,30.90694,0.8418,0.0778,0.0804,0.077,0.1594,0.0558,0.5016,0.0538,0.1292,0.0558,0.5016
18,15449.83089,12.43475,27.45308,0.6678,0.2806,0.0516,0.3362,0.478,0.0424,0.441,0.2002,0.3372,0.0424,0.441,14307.16422,10.8094,25.28018,0.5942,0.3738,0.032,0.4392,0.6392,0.0236,0.2524,0.2728,0.4672,0.0236,0.2524,1453.62162,14.75578,32.59205,0.8894,0.1024,0.0082,0.1098,0.1962,0.0076,0.0638,0.085,0.1714,0.0076,0.0638,3661.71598,14.61772,31.69151,0.873,0.0708,0.0562,0.0782,0.1348,0.0466,0.4814,0.0578,0.1098,0.0466,0.4814
19,19919.35803,11.60967,25.42298,0.5812,0.2902,0.1286,0.3418,0.5768,0.0508,0.4176,0.2006,0.3856,0.0508,0.4176,15686.64335,10.74435,24.54419,0.549,0.3726,0.0784,0.4264,0.7362,0.0278,0.2442,0.2564,0.5046,0.0278,0.2442,2104.13635,14.66079,32.30497,0.8714,0.1028,0.0258,0.1054,0.221,0.0078,0.0692,0.0784,0.1872,0.0078,0.0692,5566.78917,13.69675,29.24163,0.778,0.0728,0.1492,0.0806,0.155,0.06,0.4712,0.0552,0.1186,0.06,0.4712
20,15686.12139,12.18862,26.92992,0.642,0.2892,0.0688,0.3212,0.5434,0.036,0.4118,0.1964,0.3722,0.036,0.4118,12579.50027,10.87266,25.10454,0.5876,0.3724,0.04,0.4006,0.703,0.022,0.23,0.2504,0.5016,0.022,0.23,1497.28237,14.67777,32.42772,0.884,0.1048,0.0112,0.106,0.2104,0.0074,0.0602,0.0782,0.1754,0.0074,0.0602,4348.24789,14.37196,31.14546,0.8526,0.0704,0.077,0.0718,0.145,0.0408,0.4582,0.0524,0.1124,0.0408,0.4582
21,20058.40046,12.18072,26.8947,0.6432,0.2834,0.0734,0.3234,0.5276,0.067,0.4366,0.193,0.3584,0.067,0.4366,12597.40796,10.89852,25.11008,0.59,0.3668,0.0432,0.3992,0.6912,0.0374,0.2404,0.25,0.4944,0.0374,0.2404,-214.49964,14.68117,32.31393,0.8812,0.1072,0.0116,0.1072,0.218,0.0126,0.0668,0.0822,0.1818,0.0126,0.0668,5026.72314,14.231,30.82604,0.8428,0.077,0.0802,0.0858,0.1512,0.072,0.4766,0.0586,0.1186,0.072,0.4766
22,17557.25134,12.28753,27.26031,0.6524,0.2776,0.07,0.357,0.532,0.0306,0.4436,0.2112,0.378,0.0306,0.4436,14839.2239,10.93762,25.5762,0.5998,0.356,0.0442,0.439,0.6926,0.0186,0.2616,0.2724,0.4926,0.0186,0.2616,2131.24648,14.62819,32.3431,0.8808,0.1068,0.0124,0.1186,0.226,0.0074,0.0776,0.0918,0.1872,0.0074,0.0776,3664.45925,14.40613,31.16552,0.8474,0.0748,0.0778,0.0902,0.1584,0.033,0.4902,0.0648,0.1226,0.033,0.4902
23,20398.69182,12.09723,26.58374,0.626,0.2796,0.0944,0.3154,0.551,0.0736,0.397,0.1886,0.3706,0.0736,0.397,14347.44542,10.8208,24.84947,0.5768,0.3654,0.0578,0.393,0.7236,0.0416,0.229,0.246,0.5112,0.0416,0.229,1158.26087,14.63233,32.38802,0.8734,0.1092,0.0174,0.1064,0.234,0.0132,0.067,0.082,0.1984,0.0132,0.067,6283.81656,14.06302,30.41903,0.8212,0.0742,0.1046,0.0838,0.1532,0.081,0.44,0.0558,0.1174,0.081,0.44
24,17336.59935,12.13992,26.88938,0.6362,0.3052,0.0586,0.3598,0.5288,0.058,0.4172,0.212,0.3674,0.058,0.4172,14602.24517,10.73681,24.81393,0.579,0.3866,0.0344,0.4302,0.6784,0.0336,0.2368,0.265,0.4778,0.0336,0.2368,1135.61195,14.59616,32.27705,0.8742,0.1154,0.0104,0.121,0.2256,0.0136,0.0718,0.094,0.1846,0.0136,0.0718,5142.03029,14.36922,31.18453,0.8478,0.0868,0.0654,0.094,0.1686,0.0646,0.466,0.0686,0.1286,0.0646,0.466
