run,TP.c,TP.q,TP.lyg,TP.death.other,TP.death.stroke,TP.death.bleed,TP.stroke.dep,TP.stroke.indep,TP.bleed.ich,TP.bleed.nich,TP.count.p.dep,TP.count.p.indep,TP.count.p.ich,TP.count.p.nich,FN.c,FN.q,FN.lyg,FN.death.other,FN.death.stroke,FN.death.bleed,FN.stroke.dep,FN.stroke.indep,FN.bleed.ich,FN.bleed.nich,FN.count.p.dep,FN.count.p.indep,FN.count.p.ich,FN.count.p.nich,TN.c,TN.q,TN.lyg,TN.death.other,TN.death.stroke,TN.death.bleed,TN.stroke.dep,TN.stroke.indep,TN.bleed.ich,TN.bleed.nich,TN.count.p.dep,TN.count.p.indep,TN.count.p.ich,TN.count.p.nich,FP.c,FP.q,FP.lyg,FP.death.other,FP.death.stroke,FP.death.bleed,FP.stroke.dep,FP.stroke.indep,FP.bleed.ich,FP.bleed.nich,FP.count.p.dep,FP.count.p.indep,FP.count.p.ich,FP.count.p.nich
1,5898.54051,8.48785,16.07526,0.8192,0.1372,0.0436,0.1248,0.2986,0.0308,0.2536,0.0916,0.2358,0.0308,0.2536,5278.50941,7.56925,14.94197,0.749,0.2308,0.0202,0.1956,0.4934,0.016,0.1204,0.1504,0.4042,0.016,0.1204,860.99233,9.28155,17.33767,0.919,0.0748,0.0062,0.0628,0.1618,0.0054,0.0402,0.0514,0.1426,0.0054,0.0402,1940.04142,9.2262,17.0152,0.9156,0.0388,0.0456,0.0326,0.0984,0.033,0.2738,0.0266,0.0814,0.033,0.2738
2,6574.37331,8.26796,15.75063,0.7962,0.1608,0.043,0.1466,0.3564,0.0366,0.2628,0.1048,0.278,0.0366,0.2628,5665.87743,7.5702,14.95021,0.7438,0.2366,0.0196,0.2162,0.5254,0.018,0.1212,0.1588,0.4162,0.018,0.1212,1088.99415,9.31224,17.43158,0.9186,0.0752,0.0062,0.068,0.1784,0.0074,0.0432,0.0548,0.155,0.0074,0.0432,2751.35406,9.10068,16.86968,0.9094,0.0442,0.0464,0.0442,0.1146,0.0394,0.2894,0.035,0.0948,0.0394,0.2894
3,7634.8287,8.43927,16.07704,0.813,0.1458,0.0412,0.155,0.3216,0.0438,0.3038,0.1102,0.2542,0.0438,0.3038,5861.16449,7.58063,15.05699,0.754,0.2252,0.0208,0.223,0.5002,0.023,0.1416,0.175,0.4044,0.023,0.1416,1114.11053,9.31925,17.45113,0.9228,0.0716,0.0056,0.074,0.1598,0.0086,0.045,0.0586,0.1406,0.0086,0.045,2399.35559,9.20707,17.07151,0.9166,0.0394,0.044,0.041,0.1054,0.047,0.3278,0.0338,0.0872,0.047,0.3278
4,7255.47336,8.36367,15.90643,0.8088,0.147,0.0442,0.1546,0.2932,0.0296,0.299,0.1132,0.234,0.0296,0.299,6674.29208,7.4839,14.88952,0.7432,0.2358,0.021,0.238,0.4688,0.0158,0.1348,0.1774,0.3844,0.0158,0.1348,1213.21938,9.30543,17.4258,0.918,0.0762,0.0058,0.0754,0.1594,0.0062,0.0436,0.063,0.1414,0.0062,0.0436,2702.46687,9.17282,17.00348,0.9122,0.041,0.0468,0.0456,0.0974,0.0314,0.322,0.0358,0.0832,0.0314,0.322
5,7136.3755,8.44632,15.98226,0.8158,0.1398,0.0444,0.1252,0.311,0.037,0.297,0.09,0.2448,0.037,0.297,5883.82534,7.58663,14.95023,0.749,0.2292,0.0218,0.1904,0.5046,0.0202,0.1368,0.1478,0.4132,0.0202,0.1368,828.27479,9.29293,17.35281,0.9216,0.0726,0.0058,0.0582,0.165,0.0064,0.0414,0.0478,0.1434,0.0064,0.0414,1939.01269,9.19679,17.03223,0.9148,0.0384,0.0468,0.0322,0.0984,0.0394,0.3182,0.0258,0.0786,0.0394,0.3182
6,6954.56371,8.13835,15.56971,0.7776,0.1758,0.0466,0.1986,0.3134,0.0236,0.268,0.1432,0.2514,0.0236,0.268,6937.65105,7.46335,14.8155,0.7312,0.2474,0.0214,0.281,0.4442,0.012,0.1238,0.203,0.3586,0.012,0.1238,1098.53335,9.2699,17.32097,0.9154,0.0774,0.0072,0.0874,0.146,0.0054,0.043,0.0698,0.127,0.0054,0.043,1822.13174,9.13079,16.86791,0.8986,0.0498,0.0516,0.0594,0.1006,0.026,0.308,0.046,0.083,0.026,0.308
7,6196.52529,8.35248,15.92044,0.818,0.143,0.039,0.154,0.3014,0.0298,0.2644,0.1156,0.2446,0.0298,0.2644,5745.96021,7.59781,15.09703,0.7656,0.2182,0.0162,0.2264,0.4596,0.0144,0.111,0.1742,0.3794,0.0144,0.111,939.75303,9.30519,17.40034,0.925,0.0698,0.0052,0.0716,0.1522,0.0048,0.0368,0.0606,0.1346,0.0048,0.0368,2463.71796,9.1914,17.06532,0.9196,0.04,0.0404,0.0466,0.0994,0.0312,0.284,0.0364,0.082,0.0312,0.284
8,5974.96402,8.50219,15.99098,0.8092,0.1296,0.0612,0.1344,0.2882,0.0366,0.3122,0.1014,0.2282,0.0366,0.3122,6341.73503,7.53251,14.95958,0.7452,0.2228,0.032,0.2236,0.482,0.018,0.151,0.173,0.4052,0.018,0.151,968.34209,9.29489,17.37284,0.9166,0.0728,0.0106,0.075,0.1604,0.007,0.0542,0.061,0.14,0.007,0.0542,1358.82037,9.15309,16.84241,0.9012,0.0352,0.0636,0.0384,0.0878,0.0382,0.3238,0.0296,0.0732,0.0382,0.3238
9,7657.99408,8.5611,16.22307,0.8316,0.1316,0.0368,0.1372,0.2712,0.0384,0.2968,0.1002,0.2152,0.0384,0.2968,5811.34979,7.57844,15.03768,0.7562,0.2244,0.0194,0.212,0.4728,0.02,0.1394,0.169,0.3922,0.02,0.1394,1123.53915,9.31805,17.46015,0.922,0.0732,0.0048,0.0686,0.1562,0.008,0.044,0.0572,0.139,0.008,0.044,3231.04678,9.24739,17.16825,0.9228,0.0384,0.0388,0.037,0.094,0.041,0.3196,0.03,0.0778,0.041,0.3196
10,8143.40792,8.3001,15.78448,0.8068,0.1518,0.0414,0.1448,0.3518,0.0248,0.3352,0.0998,0.2726,0.0248,0.3352,6020.22568,7.74057,15.21992,0.762,0.2172,0.0208,0.1954,0.5194,0.013,0.1514,0.1498,0.4122,0.013,0.1514,1112.87049,9.31331,17.37791,0.9236,0.0702,0.0062,0.06,0.1714,0.0052,0.0526,0.0498,0.1466,0.0052,0.0526,2959.90523,9.1935,17.02015,0.9124,0.043,0.0446,0.043,0.1166,0.0268,0.3674,0.0332,0.0942,0.0268,0.3674
