run,TP.c,TP.q,TP.lyg,TP.death.other,TP.death.stroke,TP.death.bleed,TP.stroke.dep,TP.stroke.indep,TP.bleed.ich,TP.bleed.nich,TP.count.p.dep,TP.count.p.indep,TP.count.p.ich,TP.count.p.nich,FN.c,FN.q,FN.lyg,FN.death.other,FN.death.stroke,FN.death.bleed,FN.stroke.dep,FN.stroke.indep,FN.bleed.ich,FN.bleed.nich,FN.count.p.dep,FN.count.p.indep,FN.count.p.ich,FN.count.p.nich,TN.c,TN.q,TN.lyg,TN.death.other,TN.death.stroke,TN.death.bleed,TN.stroke.dep,TN.stroke.indep,TN.bleed.ich,TN.bleed.nich,TN.count.p.dep,TN.count.p.indep,TN.count.p.ich,TN.count.p.nich,FP.c,FP.q,FP.lyg,FP.death.other,FP.death.stroke,FP.death.bleed,FP.stroke.dep,FP.stroke.indep,FP.bleed.ich,FP.bleed.nich,FP.count.p.dep,FP.count.p.indep,FP.count.p.ich,FP.count.p.nich
1,4975.45665,8.66273,16.30283,0.8376,0.1176,0.0448,0.102,0.2546,0.0322,0.2602,0.0764,0.2084,0.0322,0.2602,5483.37805,7.62974,15.11723,0.7562,0.2232,0.0206,0.1824,0.4898,0.016,0.1218,0.1468,0.4088,0.016,0.1218,936.14555,9.27373,17.30911,0.9222,0.0714,0.0064,0.0578,0.1608,0.0054,0.0402,0.0486,0.145,0.0054,0.0402,2651.71255,9.27014,17.13439,0.9186,0.0354,0.046,0.0288,0.0872,0.0332,0.2764,0.0244,0.0722,0.0332,0.2764
2,6667.64513,8.67959,16.31974,0.8432,0.1112,0.0456,0.1008,0.2542,0.0384,0.2814,0.075,0.2018,0.0384,0.2814,5332.36474,7.65931,15.15474,0.7658,0.2118,0.0224,0.1762,0.499,0.0206,0.1308,0.145,0.427,0.0206,0.1308,945.23839,9.30499,17.40667,0.9228,0.071,0.0062,0.0592,0.168,0.0062,0.0408,0.05,0.1512,0.0062,0.0408,2893.07896,9.22093,17.0976,0.9202,0.033,0.0468,0.0276,0.0846,0.0398,0.2926,0.0232,0.07,0.0398,0.2926
3,6135.3714,8.68085,16.40277,0.8408,0.1176,0.0416,0.1234,0.257,0.0446,0.3086,0.0904,0.2058,0.0446,0.3086,5546.95555,7.63117,15.17646,0.7636,0.215,0.0214,0.211,0.4814,0.0236,0.1464,0.1696,0.4034,0.0236,0.1464,1224.00247,9.3337,17.50211,0.9246,0.0694,0.006,0.0692,0.1568,0.009,0.0478,0.0572,0.1402,0.009,0.0478,2083.04903,9.26992,17.15664,0.9214,0.0342,0.0444,0.0368,0.0856,0.0474,0.3302,0.0276,0.0704,0.0474,0.3302
4,5618.50626,8.82675,16.50639,0.8548,0.0998,0.0454,0.1052,0.1994,0.0306,0.3134,0.0778,0.1596,0.0306,0.3134,5994.01378,7.59255,15.13971,0.7628,0.2154,0.0218,0.2078,0.4444,0.0168,0.1432,0.1688,0.39,0.0168,0.1432,1047.3348,9.31296,17.45233,0.9206,0.0728,0.0066,0.0672,0.1544,0.0064,0.0462,0.0598,0.1406,0.0064,0.0462,2177.79087,9.27679,17.13987,0.9194,0.033,0.0476,0.0316,0.072,0.0324,0.3262,0.0258,0.062,0.0324,0.3262
5,6743.11388,8.72484,16.38116,0.84,0.115,0.045,0.1008,0.2534,0.038,0.31,0.0728,0.2,0.038,0.31,6930.73166,7.64654,15.15946,0.7596,0.2172,0.0232,0.1828,0.4816,0.0212,0.149,0.1414,0.4114,0.0212,0.149,1203.74167,9.30378,17.38022,0.9232,0.07,0.0068,0.0572,0.16,0.0078,0.047,0.0466,0.1416,0.0078,0.047,1975.10134,9.21483,17.02633,0.9186,0.0342,0.0472,0.0278,0.0814,0.0396,0.3202,0.0216,0.0668,0.0396,0.3202
6,5787.2705,8.47917,16.05438,0.816,0.135,0.049,0.1532,0.252,0.0244,0.2868,0.1176,0.2048,0.0244,0.2868,6770.76786,7.51993,14.98953,0.747,0.2286,0.0244,0.2508,0.422,0.0134,0.1318,0.1938,0.3614,0.0134,0.1318,1202.0231,9.2687,17.32238,0.9184,0.0736,0.008,0.0762,0.1442,0.0056,0.0462,0.0656,0.1292,0.0056,0.0462,1611.27443,9.22327,17.01185,0.9122,0.0364,0.0514,0.04,0.079,0.0258,0.3042,0.0322,0.0682,0.0258,0.3042
7,5590.26501,8.72444,16.43166,0.8566,0.104,0.0394,0.1154,0.2126,0.0308,0.2728,0.0862,0.1752,0.0308,0.2728,5609.25922,7.68381,15.29119,0.7792,0.2042,0.0166,0.2042,0.4418,0.0152,0.118,0.1666,0.383,0.0152,0.118,646.90569,9.31102,17.409,0.9284,0.0664,0.0052,0.0666,0.1498,0.0048,0.0376,0.0582,0.1358,0.0048,0.0376,2453.69932,9.23823,17.13869,0.926,0.0328,0.0412,0.033,0.0744,0.032,0.2884,0.0264,0.0626,0.032,0.2884
8,5955.4648,8.53686,16.05154,0.8134,0.1258,0.0608,0.1332,0.2692,0.0364,0.3086,0.0982,0.2186,0.0364,0.3086,6752.60601,7.51217,14.94011,0.745,0.2226,0.0324,0.223,0.4822,0.0186,0.158,0.1746,0.3998,0.0186,0.158,1310.53806,9.30472,17.43057,0.9186,0.071,0.0104,0.0702,0.1576,0.0062,0.0492,0.06,0.1392,0.0062,0.0492,878.80382,9.16983,16.84418,0.9006,0.0358,0.0636,0.0364,0.0918,0.0384,0.3242,0.0288,0.0756,0.0384,0.3242
9,6276.90956,8.82681,16.55526,0.8622,0.1,0.0378,0.1084,0.1998,0.039,0.3064,0.0752,0.1592,0.039,0.3064,5961.96795,7.5922,15.13391,0.7676,0.213,0.0194,0.202,0.456,0.0202,0.1408,0.163,0.3928,0.0202,0.1408,625.62663,9.31661,17.44826,0.925,0.0696,0.0054,0.0646,0.1528,0.008,0.0448,0.055,0.141,0.008,0.0448,1964.1918,9.29494,17.19338,0.9278,0.033,0.0392,0.0314,0.0728,0.0416,0.3226,0.0244,0.0602,0.0416,0.3226
10,6688.34218,8.69719,16.31526,0.8446,0.1122,0.0432,0.1052,0.2666,0.0266,0.3572,0.0744,0.2062,0.0266,0.3572,5958.71112,7.8086,15.41207,0.7792,0.199,0.0218,0.1726,0.4858,0.0134,0.1632,0.138,0.4146,0.0134,0.1632,946.85251,9.33315,17.42569,0.9284,0.0654,0.0062,0.0538,0.165,0.0052,0.052,0.0456,0.1466,0.0052,0.052,2848.73977,9.21405,17.01607,0.921,0.0344,0.0446,0.0306,0.0982,0.0268,0.3682,0.0242,0.0784,0.0268,0.3682
11,7023.75578,8.58217,16.20062,0.8242,0.1294,0.0464,0.135,0.268,0.0308,0.3084,0.096,0.2136,0.0308,0.3084,6351.3774,7.51335,14.98483,0.748,0.229,0.023,0.2148,0.4888,0.0172,0.1434,0.1682,0.405,0.0172,0.1434,1221.35372,9.26412,17.35961,0.9162,0.0758,0.008,0.0748,0.164,0.0074,0.052,0.0606,0.1472,0.0074,0.052,1665.65539,9.21743,17.04702,0.9166,0.0362,0.0472,0.0354,0.091,0.032,0.3174,0.0284,0.0742,0.032,0.3174
12,7279.83309,8.59447,16.2552,0.8474,0.1134,0.0392,0.128,0.2412,0.0406,0.2842,0.0922,0.198,0.0406,0.2842,5606.73473,7.58154,15.13002,0.7698,0.213,0.0172,0.2194,0.4652,0.0198,0.1238,0.174,0.3874,0.0198,0.1238,902.40202,9.27499,17.34849,0.9286,0.0666,0.0048,0.065,0.1542,0.0072,0.0408,0.0572,0.1416,0.0072,0.0408,2734.65771,9.25803,17.19157,0.9264,0.0332,0.0404,0.0322,0.0824,0.0418,0.2998,0.0272,0.069,0.0418,0.2998
13,5458.10004,8.64792,16.26237,0.8304,0.1198,0.0498,0.1202,0.2426,0.0314,0.279,0.0908,0.1946,0.0314,0.279,5715.49157,7.54979,14.96001,0.7516,0.2234,0.025,0.208,0.46,0.0156,0.128,0.166,0.388,0.0156,0.128,814.55651,9.29956,17.3542,0.922,0.0716,0.0064,0.0656,0.152,0.005,0.04,0.055,0.1378,0.005,0.04,2242.02665,9.24098,17.0502,0.9122,0.0354,0.0524,0.033,0.0842,0.0334,0.2988,0.0264,0.071,0.0334,0.2988
14,5399.77985,8.79194,16.5422,0.8556,0.1026,0.0418,0.1094,0.2282,0.0314,0.2818,0.079,0.1794,0.0314,0.2818,5223.23351,7.67348,15.28434,0.7814,0.2,0.0186,0.191,0.473,0.0168,0.1256,0.156,0.4058,0.0168,0.1256,898.26681,9.30505,17.41333,0.9278,0.0668,0.0054,0.0612,0.1626,0.0052,0.0402,0.0526,0.1466,0.0052,0.0402,2278.42814,9.29575,17.23453,0.9244,0.0316,0.044,0.0322,0.076,0.033,0.2934,0.0246,0.0648,0.033,0.2934
