"","base.lyg","base.death.other","base.death.stroke","base.death.bleed","base.stroke.dep","base.stroke.indep","base.bleed.ich","base.bleed.nich","base.count.p.dep","base.count.p.indep","base.count.p.ich","base.count.p.nich","comp.lyg","comp.death.other","comp.death.stroke","comp.death.bleed","comp.stroke.dep","comp.stroke.indep","comp.bleed.ich","comp.bleed.nich","comp.count.p.dep","comp.count.p.indep","comp.count.p.ich","comp.count.p.nich","dif.lyg","dif.death.other","dif.death.stroke","dif.death.bleed","dif.stroke.dep","dif.stroke.indep","dif.bleed.ich","dif.bleed.nich","dif.count.p.dep","dif.count.p.indep","dif.count.p.ich","dif.count.p.nich"
"warf.50.F",31.6326973823627,0.848981989372637,0.135483973573814,0.0155340370535484,0.13886228987296,0.277995743273537,0.0123921523790116,0.0908030473121324,0.100683617889846,0.222758306516309,0.0123921523790116,0.0908030473121324,31.7336469526393,0.852433528963565,0.126241999495325,0.0213244715411104,0.130460382100033,0.259334464556609,0.0166083948406818,0.129536381663193,0.0941496022519551,0.207464034638737,0.0166083948406818,0.129536381663193,0.100949570276618,0.0034515395909277,-0.00924197407848967,0.00579043448756198,-0.00840190777292616,-0.0186612787169276,0.00421624246167018,0.0387333343510609,-0.00653401563789135,-0.0152942718775715,0.00421624246167018,0.0387333343510609
"warf.50.M",28.8398238979308,0.870506992744019,0.116796612112212,0.0126963951437682,0.120026434712743,0.24172927123955,0.010263422892875,0.0748872928172622,0.0885024444259416,0.196476605914168,0.010263422892875,0.0748872928172622,28.9282008366407,0.874069896545844,0.107589054206703,0.0183410492474525,0.11108905205425,0.222873318258439,0.0143213653457727,0.112293359822397,0.0817056755191349,0.180846909037255,0.0143213653457727,0.112293359822397,0.0883769387098896,0.00356290380182467,-0.00920755790550897,0.0056446541036843,-0.00893738265849312,-0.0188559529811115,0.00405794245289775,0.0374060670051349,-0.00679676890680669,-0.015629696876913,0.00405794245289775,0.0374060670051349
"warf.65.F",17.1319056852557,0.901896652570013,0.089551238106379,0.0085521093236084,0.0871474599545314,0.191653576202258,0.0067917549694526,0.0519421633615932,0.0700660598120206,0.165617480876093,0.0067917549694526,0.0519421633615932,17.2035586479556,0.90715009549608,0.0798849805967318,0.012964923907188,0.0784002389172219,0.171827709283161,0.00968620959949722,0.0792578547745326,0.0628384724206102,0.148323011404316,0.00968620959949722,0.0792578547745326,0.0716529626999124,0.00525344292606766,-0.00966625750964722,0.00441281458357956,-0.00874722103730945,-0.0198258669190969,0.00289445463004462,0.0273156914129394,-0.00722758739141038,-0.0172944694717762,0.00289445463004462,0.0273156914129394
"warf.65.M",19.4471666609196,0.882904938276,0.106107570934095,0.0109874907899048,0.104873638896997,0.225361050218405,0.0089627434539732,0.0651894081653396,0.082847181823736,0.191669951576166,0.0089627434539732,0.0651894081653396,19.5305431346898,0.888116147347544,0.0961551708000721,0.0157286818523835,0.0955501288787509,0.204878651440327,0.0121232319588425,0.0953489523192828,0.0753080458684022,0.174024887515508,0.0121232319588425,0.0953489523192828,0.083376473770189,0.00521120907154454,-0.00995240013402329,0.00474119106247875,-0.00932351001824646,-0.0204823987780781,0.00316048850486928,0.0301595441539432,-0.00753913595533383,-0.0176450640606586,0.00316048850486928,0.0301595441539432
