run,TP.c,TP.q,TP.lyg,TP.death.other,TP.death.stroke,TP.death.bleed,TP.stroke.dep,TP.stroke.indep,TP.bleed.ich,TP.bleed.nich,TP.count.p.dep,TP.count.p.indep,TP.count.p.ich,TP.count.p.nich,FN.c,FN.q,FN.lyg,FN.death.other,FN.death.stroke,FN.death.bleed,FN.stroke.dep,FN.stroke.indep,FN.bleed.ich,FN.bleed.nich,FN.count.p.dep,FN.count.p.indep,FN.count.p.ich,FN.count.p.nich,TN.c,TN.q,TN.lyg,TN.death.other,TN.death.stroke,TN.death.bleed,TN.stroke.dep,TN.stroke.indep,TN.bleed.ich,TN.bleed.nich,TN.count.p.dep,TN.count.p.indep,TN.count.p.ich,TN.count.p.nich,FP.c,FP.q,FP.lyg,FP.death.other,FP.death.stroke,FP.death.bleed,FP.stroke.dep,FP.stroke.indep,FP.bleed.ich,FP.bleed.nich,FP.count.p.dep,FP.count.p.indep,FP.count.p.ich,FP.count.p.nich
1,6811.31891,9.0829,17.90554,0.7722,0.179,0.0488,0.1552,0.3782,0.0352,0.2904,0.112,0.2892,0.0352,0.2904,6494.69292,8.14785,16.70108,0.7138,0.2604,0.0258,0.2284,0.5484,0.0194,0.145,0.1666,0.4328,0.0194,0.145,1411.41259,10.13238,19.68727,0.8998,0.0916,0.0086,0.0768,0.2042,0.0082,0.0504,0.064,0.1736,0.0082,0.0504,1963.32145,10.09439,19.37301,0.8946,0.0538,0.0516,0.0482,0.1294,0.037,0.3138,0.0378,0.1068,0.037,0.3138
2,8365.06916,9.19551,18.0988,0.7908,0.1602,0.049,0.1484,0.3542,0.0416,0.3106,0.1034,0.2716,0.0416,0.3106,6389.88283,8.22321,16.93007,0.7262,0.2488,0.025,0.22,0.5598,0.0222,0.1492,0.1658,0.4494,0.0222,0.1492,1548.27606,10.16071,19.80309,0.9008,0.0902,0.009,0.0778,0.211,0.01,0.0564,0.0646,0.1802,0.01,0.0564,2699.25385,10.05831,19.38502,0.9012,0.0466,0.0522,0.0428,0.121,0.044,0.3308,0.036,0.1,0.044,0.3308
3,8767.1759,9.3081,18.31491,0.8038,0.1496,0.0466,0.1594,0.3262,0.0506,0.352,0.1128,0.2526,0.0506,0.352,8043.65353,8.24374,17.13088,0.7316,0.2448,0.0236,0.2498,0.5338,0.0272,0.179,0.1858,0.4286,0.0272,0.179,1029.84968,10.17263,19.82433,0.9098,0.0822,0.008,0.084,0.1886,0.0118,0.0596,0.0682,0.1634,0.0118,0.0596,2785.06067,10.11398,19.49044,0.9078,0.044,0.0482,0.0518,0.1078,0.054,0.3736,0.0392,0.0888,0.054,0.3736
4,8249.75861,9.15466,18.06095,0.7746,0.1762,0.0492,0.1814,0.3416,0.0336,0.3408,0.128,0.2678,0.0336,0.3408,7685.61841,8.11549,16.80169,0.7158,0.26,0.0242,0.2678,0.5094,0.0178,0.17,0.1968,0.4144,0.0178,0.17,1454.46356,10.15405,19.79449,0.8994,0.092,0.0086,0.0914,0.1908,0.008,0.0588,0.0764,0.1678,0.008,0.0588,2644.96876,10.05673,19.33256,0.8964,0.0514,0.0522,0.0574,0.1124,0.0348,0.3688,0.0424,0.0946,0.0348,0.3688
5,7982.43857,9.30623,18.22202,0.7938,0.1554,0.0508,0.1398,0.3348,0.042,0.3478,0.0982,0.2624,0.042,0.3478,6714.67639,8.23367,16.88102,0.727,0.2488,0.0242,0.2076,0.5464,0.0226,0.1672,0.1596,0.4424,0.0226,0.1672,1229.05027,10.17584,19.79306,0.9084,0.0838,0.0078,0.0708,0.1932,0.009,0.0532,0.0596,0.1686,0.009,0.0532,2752.80037,10.08136,19.38353,0.9048,0.0426,0.0526,0.0386,0.1116,0.0442,0.3674,0.0302,0.0922,0.0442,0.3674
6,7635.20528,9.23109,18.13229,0.788,0.1556,0.0564,0.1746,0.2836,0.0286,0.3374,0.1298,0.2326,0.0286,0.3374,7791.31607,8.1467,16.92872,0.7208,0.2508,0.0284,0.2738,0.466,0.0152,0.1666,0.2108,0.3888,0.0152,0.1666,1475.9669,10.12402,19.69686,0.901,0.0892,0.0098,0.0978,0.1708,0.007,0.0562,0.083,0.148,0.007,0.0562,2745.931,10.0847,19.35966,0.897,0.0444,0.0586,0.0532,0.0976,0.0294,0.3544,0.0422,0.0826,0.0294,0.3544
7,7370.82779,9.21674,18.23025,0.8064,0.1506,0.043,0.168,0.3078,0.0336,0.303,0.1196,0.2466,0.0336,0.303,6776.30441,8.29434,17.18915,0.741,0.2376,0.0214,0.2508,0.495,0.0178,0.1368,0.1874,0.4068,0.0178,0.1368,1339.38009,10.1669,19.78973,0.9092,0.0836,0.0072,0.0874,0.1834,0.0074,0.0488,0.072,0.1616,0.0074,0.0488,1996.26964,10.09835,19.48547,0.9084,0.0462,0.0454,0.0546,0.1074,0.0366,0.3244,0.0416,0.0892,0.0366,0.3244
8,7589.26046,9.14307,17.93483,0.7672,0.1646,0.0682,0.1736,0.345,0.0424,0.3582,0.123,0.2664,0.0424,0.3582,7253.37566,8.09658,16.7084,0.7096,0.2514,0.039,0.2598,0.5326,0.0228,0.1912,0.1892,0.4296,0.0228,0.1912,1480.3707,10.15168,19.79638,0.9,0.0858,0.0142,0.0898,0.1898,0.0094,0.0674,0.0722,0.162,0.0094,0.0674,1888.52128,10.0139,19.12511,0.8816,0.0476,0.0708,0.0556,0.113,0.046,0.3784,0.0412,0.0906,0.046,0.3784
9,9161.57845,9.31468,18.35506,0.8036,0.1558,0.0406,0.1588,0.3184,0.0454,0.3458,0.115,0.2538,0.0454,0.3458,7248.80095,8.20259,16.98063,0.73,0.2484,0.0216,0.2384,0.5208,0.022,0.1732,0.1816,0.4274,0.022,0.1732,1341.17233,10.16186,19.80956,0.9064,0.087,0.0066,0.0856,0.185,0.0092,0.055,0.0708,0.1612,0.0092,0.055,2465.77762,10.13902,19.49902,0.912,0.0456,0.0424,0.048,0.1078,0.0464,0.364,0.0382,0.0874,0.0464,0.364
10,9086.36558,9.3645,18.33197,0.8144,0.1386,0.047,0.131,0.3304,0.0298,0.4052,0.0924,0.258,0.0298,0.4052,8757.00446,8.42663,17.36036,0.746,0.2292,0.0248,0.2082,0.5456,0.0152,0.2016,0.159,0.4394,0.0152,0.2016,1686.84324,10.18882,19.79236,0.9096,0.0816,0.0088,0.0748,0.1996,0.0066,0.0672,0.0604,0.1738,0.0066,0.0672,3135.73812,10.11234,19.41096,0.9044,0.0466,0.049,0.0444,0.1258,0.0308,0.4232,0.0346,0.0996,0.0308,0.4232
