run,TP.c,TP.q,TP.lyg,TP.death.other,TP.death.stroke,TP.death.bleed,TP.stroke.dep,TP.stroke.indep,TP.bleed.ich,TP.bleed.nich,TP.count.p.dep,TP.count.p.indep,TP.count.p.ich,TP.count.p.nich,FN.c,FN.q,FN.lyg,FN.death.other,FN.death.stroke,FN.death.bleed,FN.stroke.dep,FN.stroke.indep,FN.bleed.ich,FN.bleed.nich,FN.count.p.dep,FN.count.p.indep,FN.count.p.ich,FN.count.p.nich,TN.c,TN.q,TN.lyg,TN.death.other,TN.death.stroke,TN.death.bleed,TN.stroke.dep,TN.stroke.indep,TN.bleed.ich,TN.bleed.nich,TN.count.p.dep,TN.count.p.indep,TN.count.p.ich,TN.count.p.nich,FP.c,FP.q,FP.lyg,FP.death.other,FP.death.stroke,FP.death.bleed,FP.stroke.dep,FP.stroke.indep,FP.bleed.ich,FP.bleed.nich,FP.count.p.dep,FP.count.p.indep,FP.count.p.ich,FP.count.p.nich
744,6310.35071,8.50214,16.1041,0.8188,0.1256,0.0556,0.1474,0.2472,0.0276,0.2732,0.1114,0.1982,0.0276,0.2732,5915.5578,7.51705,15.02056,0.7518,0.2204,0.0278,0.2432,0.4464,0.0124,0.1258,0.1922,0.3798,0.0124,0.1258,859.42556,9.27201,17.34365,0.9208,0.0706,0.0086,0.0772,0.1468,0.004,0.0404,0.0662,0.1288,0.004,0.0404,2303.21666,9.20083,17.02106,0.9072,0.034,0.0588,0.0376,0.0814,0.0294,0.286,0.0298,0.068,0.0294,0.286
745,5632.15389,8.47044,16.08625,0.8264,0.1368,0.0368,0.1504,0.258,0.022,0.241,0.1114,0.2114,0.022,0.241,5720.3469,7.60396,15.15732,0.7586,0.2246,0.0168,0.2364,0.4268,0.011,0.1074,0.1832,0.3616,0.011,0.1074,1211.088,9.28931,17.39275,0.9168,0.0778,0.0054,0.0796,0.1496,0.0042,0.0372,0.0662,0.135,0.0042,0.0372,1432.69378,9.23055,17.08001,0.92,0.0384,0.0416,0.042,0.0856,0.0234,0.2584,0.0322,0.0724,0.0234,0.2584
746,6843.7606,8.41094,15.90115,0.8214,0.1388,0.0398,0.1418,0.2838,0.0366,0.292,0.1036,0.2238,0.0366,0.292,6126.92651,7.50766,14.92668,0.7484,0.2322,0.0194,0.2222,0.4694,0.0192,0.1308,0.1688,0.3902,0.0192,0.1308,415.05039,9.29353,17.36949,0.921,0.0742,0.0048,0.0688,0.1546,0.0062,0.0404,0.057,0.1384,0.0062,0.0404,2541.15669,9.22286,17.10364,0.9214,0.0374,0.0412,0.0338,0.0926,0.039,0.3138,0.0274,0.0766,0.039,0.3138
747,5951.81307,8.62074,16.32844,0.842,0.1184,0.0396,0.1228,0.3022,0.0294,0.2616,0.0906,0.2344,0.0294,0.2616,6345.27562,7.58846,15.17963,0.771,0.2106,0.0184,0.2174,0.526,0.0164,0.1268,0.166,0.4354,0.0164,0.1268,1008.94086,9.3395,17.49286,0.9284,0.0664,0.0052,0.0616,0.1702,0.005,0.039,0.0518,0.1492,0.005,0.039,1832.48333,9.30798,17.23362,0.9282,0.0312,0.0406,0.0302,0.0886,0.031,0.2746,0.0238,0.0762,0.031,0.2746
748,7260.09562,8.29936,15.74473,0.8004,0.1358,0.0638,0.147,0.3202,0.0222,0.2914,0.105,0.256,0.0222,0.2914,6360.33814,7.56281,15.0243,0.7506,0.2164,0.033,0.2284,0.5046,0.0108,0.1328,0.1714,0.4082,0.0108,0.1328,1348.99796,9.28847,17.37356,0.9176,0.0712,0.0112,0.0726,0.1744,0.004,0.0474,0.058,0.1522,0.004,0.0474,2745.2378,9.08913,16.82651,0.895,0.0378,0.0672,0.043,0.1048,0.0234,0.311,0.0328,0.0866,0.0234,0.311
749,7167.83437,8.42448,16.0017,0.8222,0.1338,0.044,0.1204,0.332,0.0376,0.2684,0.088,0.2556,0.0376,0.2684,5307.30609,7.71647,15.28303,0.7682,0.2136,0.0182,0.1876,0.5242,0.017,0.1136,0.1428,0.4282,0.017,0.1136,999.50219,9.31464,17.42054,0.923,0.0716,0.0054,0.0598,0.1812,0.0052,0.0376,0.0494,0.157,0.0052,0.0376,2791.13303,9.09963,16.84259,0.916,0.0376,0.0464,0.0316,0.111,0.0396,0.2836,0.0256,0.0912,0.0396,0.2836
750,5907.5469,8.64833,16.21014,0.824,0.1136,0.0624,0.1046,0.223,0.032,0.2768,0.0784,0.182,0.032,0.2768,6535.86849,7.54043,14.94762,0.7426,0.2248,0.0326,0.1926,0.461,0.014,0.129,0.1528,0.395,0.014,0.129,707.59644,9.30285,17.3549,0.9202,0.0714,0.0084,0.0576,0.1504,0.0032,0.0382,0.05,0.1384,0.0032,0.0382,1699.95784,9.22572,17.02173,0.9024,0.0328,0.0648,0.0286,0.0694,0.0348,0.2964,0.0228,0.0572,0.0348,0.2964
751,6708.37024,8.49968,16.09626,0.8206,0.1188,0.0606,0.1396,0.2882,0.0316,0.3094,0.1006,0.2296,0.0316,0.3094,5947.01114,7.67954,15.26001,0.772,0.197,0.031,0.2196,0.4802,0.016,0.1436,0.1696,0.3982,0.016,0.1436,944.08824,9.27957,17.32412,0.9232,0.0674,0.0094,0.0734,0.164,0.0054,0.0462,0.06,0.1432,0.0054,0.0462,1497.50231,9.14139,16.86687,0.901,0.0354,0.0636,0.0414,0.0992,0.0336,0.3272,0.0326,0.0798,0.0336,0.3272
752,5587.98166,8.61561,16.34206,0.832,0.1284,0.0396,0.1402,0.253,0.0226,0.2826,0.1032,0.2048,0.0226,0.2826,5942.70599,7.53332,15.02197,0.758,0.2236,0.0184,0.2272,0.4564,0.0118,0.13,0.1774,0.3858,0.0118,0.13,1400.94571,9.28179,17.39435,0.9188,0.0756,0.0056,0.077,0.1572,0.0046,0.0428,0.064,0.1392,0.0046,0.0428,2367.44569,9.24152,17.13803,0.9234,0.0362,0.0404,0.0374,0.086,0.0234,0.2944,0.0294,0.0724,0.0234,0.2944
753,7320.43368,8.19985,15.65585,0.7836,0.1712,0.0452,0.1754,0.332,0.0208,0.2792,0.1276,0.2624,0.0208,0.2792,6533.25735,7.44894,14.838,0.7306,0.2478,0.0216,0.2564,0.484,0.0118,0.1294,0.1878,0.3898,0.0118,0.1294,1173.72789,9.30024,17.38192,0.9184,0.075,0.0066,0.075,0.15,0.0042,0.0416,0.0608,0.1308,0.0042,0.0416,1687.95404,9.20529,17.0441,0.9074,0.0432,0.0494,0.0494,0.1008,0.0226,0.3118,0.0384,0.0862,0.0226,0.3118
