"","base.cost","base.qaly","comp.cost","comp.qaly","mean.icer","2.5%","50%","97.5%"
"warf.50.F",2814.75449363235,14.2657724651641,5404.89453816512,14.1897671126497,-34078.3899928926,-34175.3040964413,-34081.8636536317,-33951.5124159052
"warf.50.M",2458.64457230104,13.5995988567479,4712.39647271237,13.5145149488036,-26488.5799778556,-26551.6840290851,-26491.3299429757,-26407.5878220646
"warf.65.F",1974.03416043187,9.94285376033405,3106.3251133785,9.9714697086117,39568.5280795319,39374.0452930686,39561.3709818923,39838.5916297473
"warf.65.M",1526.55533416585,9.11610246028247,2467.2203619521,9.13018572411855,66793.1126431415,66216.7872780384,66771.9947182902,67599.4534517595
